lemma;lemma-href;;
adaptatie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00011.php;Klik;
addenda;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02425.php;Klik;
adequate vorm;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_05080.php;Klik;
adequatio intellectus et rei;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_05438.php;Klik;
adiectio;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02426.php;Klik;
adieulied;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02427.php;Klik;
adiunctio;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02428.php;Klik;
adjectivum pro genitivo;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02266.php;Klik;
adjuvant;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00717.php;Klik;
adolescentenroman;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03362.php;Klik;
adonisch vers;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01993.php;Klik;
adonius;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01993.php;Klik;
adversaria;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02429.php;Klik;
adynaton;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01994.php;Klik;
aemulatio;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00108.php;Klik;
aeolische versmaat;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03368.php;Klik;
Aernoutsbroeders;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00109.php;Klik;
aetiologia;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_05166.php;Klik;
afaeresis;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00641.php;Klik;
afbijtsel;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00110.php;Klik;
afdruk;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01248.php;Klik;
affective fallacy;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_05043.php;Klik;
affixio;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03373.php;Klik;
afgesloten bibliografie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00112.php;Klik;
afkapping;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02013.php;Klik;
